"","Tool","cancer.type","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec"
"136","msa_thresholdx10","Stomach-AdenoCA",2.45001897695956,2.51366068065439,0.395917153035542,0.856924242424242,0.857142857142857,0.150190851682509,0.302481023040439,0.258651042526269,0.182213641299502,0.9045,1,0.155245994289661,0.848,1,0.200913737624708
"137","msa_thresholdx1000","Stomach-AdenoCA",2.4486756354422,2.5177114641477,0.406814371546209,0.856459595959596,0.857142857142857,0.153634776829074,0.302491031224464,0.258651042526269,0.184780671565329,0.904166666666667,1,0.158793412721313,0.847,1,0.202403903290772
"138","msa_default","Stomach-AdenoCA",2.4459768104811,2.5177114641477,0.419303681822571,0.856471861471861,0.857142857142857,0.156423654542535,0.303189856185567,0.258651042526269,0.186901419754125,0.905333333333333,1,0.160751601674999,0.843833333333333,1,0.201699499233442
"139","yapsa_0.06","Lung-AdenoCA",2.44538000297587,2.73504038316689,0.534829294947819,0.831285714285714,1,0.196286156777652,0.301119997024126,0.191778382834974,0.294920921249419,0.91,1,0.190132566429477,0.8365,1,0.254848549906508
"140","yapsa_0.01","Ovary-AdenoCA",2.44177741472387,2.5083636552746,0.42994403678477,0.836507936507937,0.857142857142857,0.177381476961238,0.310889251942794,0.231511537243991,0.235492670942586,0.976666666666667,1,0.0879049072991532,0.776,0.8,0.245170180708049
"141","yapsa_0.10","Ovary-AdenoCA",2.44005148696539,2.55431665937826,0.459137976506834,0.844880952380952,0.857142857142857,0.16645949296465,0.308781846367943,0.252132705567802,0.233899557736378,0.829666666666667,1,0.211105528900147,0.919166666666667,1,0.182902386065034
"142","yapsa_0.01","Liver-HCC",2.4368452679707,2.46207108531339,0.408724836634052,0.815095238095238,0.8,0.17651459988253,0.286488065362636,0.223342535449169,0.223295329612569,0.995,1,0.05,0.728333333333333,0.666666666666667,0.243207384036406
"143","deconstruct_0.10","Kidney-RCC",2.43509274213137,2.53548459933352,0.631584266178606,0.824047619047619,0.8,0.195755804174369,0.278240591201962,0.209328311611391,0.327208582925814,0.773333333333333,0.75,0.246205775624004,0.94,1,0.182758511157958
"144","yapsa_0.01","Eso-AdenoCA",2.43045407576011,2.427104966915,0.230705033311705,0.877458735708736,0.888888888888889,0.0904152627924229,0.353061797255765,0.328000329210406,0.13431454264913,0.919642857142857,1,0.125646533388421,0.863873015873016,0.857142857142857,0.135498847311097
"145","deconstruct_0.00","Breast-AdenoCA",2.42690404163119,2.51327123336246,0.41926520605475,0.885992063492063,0.888888888888889,0.131321544697851,0.376262625035479,0.330731740509944,0.227256728188242,0.8335,0.8,0.178069441933176,0.969666666666667,1,0.0949446055048843
