Sample.ID,Tool,MD,SMD,sens,prec,F1,Combined,spec,scaled_L2,KL,cancer.type
Ovary-AdenoCA::S.35,msa_thresholdx1000,12,0.166666666666667,1,1,1,2.83333333333333,1,0.109361220472386,0.0140961822299453,Ovary-AdenoCA
Ovary-AdenoCA::S.36,msa_thresholdx1000,58,0.207885304659498,1,1,1,2.7921146953405,1,0.132761714533707,0.0373337552671413,Ovary-AdenoCA
Ovary-AdenoCA::S.37,msa_thresholdx1000,175,0.373931623931624,0.5,1,0.666666666666667,2.12606837606838,1,0.277160721604121,0.725169537554644,Ovary-AdenoCA
Ovary-AdenoCA::S.38,msa_thresholdx1000,38,0.904761904761905,1,0.333333333333333,0.5,1.42857142857143,0.5,0.679302029413672,0.793549122532574,Ovary-AdenoCA
Ovary-AdenoCA::S.39,msa_thresholdx1000,60,0.379746835443038,1,0.75,0.857142857142857,2.37025316455696,0.5,0.207030724478432,0.362324607510145,Ovary-AdenoCA
Ovary-AdenoCA::S.40,msa_thresholdx1000,3,0.0208333333333333,1,0.666666666666667,0.8,2.64583333333333,0.666666666666667,0.0120281306081172,0.010126774426873,Ovary-AdenoCA
Ovary-AdenoCA::S.41,msa_thresholdx1000,39,0.354545454545455,1,0.5,0.666666666666667,2.14545454545455,0.333333333333333,0.241037701519325,0.284472656745804,Ovary-AdenoCA
Ovary-AdenoCA::S.42,msa_thresholdx1000,114,0.561576354679803,1,1,1,2.4384236453202,1,0.385937877552727,0.219406739941382,Ovary-AdenoCA
Ovary-AdenoCA::S.43,msa_thresholdx1000,75,0.373134328358209,1,1,1,2.62686567164179,1,0.238857788739459,0.124260700388116,Ovary-AdenoCA
Ovary-AdenoCA::S.44,msa_thresholdx1000,50,0.177935943060498,1,1,1,2.8220640569395,1,0.0936152771385474,0.0562009250541823,Ovary-AdenoCA
Ovary-AdenoCA::S.45,msa_thresholdx1000,50,0.135135135135135,1,1,1,2.86486486486486,1,0.0776762587199995,0.0276732853195889,Ovary-AdenoCA
Ovary-AdenoCA::S.46,msa_thresholdx1000,54,0.439024390243902,1,1,1,2.5609756097561,1,0.253209943128414,0.209648933267978,Ovary-AdenoCA
Ovary-AdenoCA::S.47,msa_thresholdx1000,96,0.581818181818182,1,0.8,0.888888888888889,2.21818181818182,0,0.314334605573089,0.325737812031965,Ovary-AdenoCA
Ovary-AdenoCA::S.48,msa_thresholdx1000,4,0.222222222222222,1,1,1,2.77777777777778,1,0.222222222222222,0,Ovary-AdenoCA
Ovary-AdenoCA::S.49,msa_thresholdx1000,17,0.121428571428571,1,1,1,2.87857142857143,1,0.0928571428571429,0.00883175697283947,Ovary-AdenoCA
Ovary-AdenoCA::S.50,msa_thresholdx1000,32,0.727272727272727,1,0.333333333333333,0.5,1.60606060606061,0.5,0.553911709406997,0.514573172829758,Ovary-AdenoCA
Ovary-AdenoCA::S.51,msa_thresholdx1000,83,0.423469387755102,0.8,1,0.888888888888889,2.3765306122449,1,0.236626910720515,0.435241605216573,Ovary-AdenoCA
Ovary-AdenoCA::S.52,msa_thresholdx1000,48,0.466019417475728,1,0.75,0.857142857142857,2.28398058252427,0.5,0.302376922376649,0.347420213734027,Ovary-AdenoCA
Ovary-AdenoCA::S.53,msa_thresholdx1000,17,0.197674418604651,1,1,1,2.80232558139535,1,0.136101161752554,0.0137859061901658,Ovary-AdenoCA
Ovary-AdenoCA::S.54,msa_thresholdx1000,3,0.0909090909090909,1,1,1,2.90909090909091,1,0.0909090909090909,0,Ovary-AdenoCA
Ovary-AdenoCA::S.55,msa_thresholdx1000,47,0.228155339805825,1,1,1,2.77184466019417,1,0.130527472424745,0.0295061593265975,Ovary-AdenoCA
